n,Team,Year,# Foreign Players,Wins,Losses,W/L Ratio,Net Wins,Total Foreign Players,ORtg,DRtg,NetRtg,Rel ORtg,Rel DRtg,Top 3 Win,Top 3 Foreign,% Foreign,location
1,Atlanta Hawks,2021,4,41,31,1.32,10,107,115.7,113.3,2.4,3.4,1,,,,E
2,Boston Celtics,2021,2,36,36,1,0,,114,112.5,1.5,1.7,0.2,,,,E
3,Brooklyn Nets,2021,3,48,24,2,24,,118.3,113.8,4.5,6,1.5,,,,E
4,Charlotte Hornets,2021,2,33,39,0.85,-6,,110.9,112.8,-1.9,-1.4,0.5,,,,E
5,Chicago Bulls,2021,3,31,41,0.76,-10,,111.1,112,-0.9,-1.2,-0.3,,,,E
6,Cleveland Cavaliers,2021,4,22,50,0.44,-28,,105.8,114.4,-8.6,-6.5,2.1,,,,E
7,Dallas Mavericks,2021,6,42,30,1.4,12,,115.4,113,2.4,3.1,0.7,,,,W
8,Denver Nuggets,2021,6,47,25,1.88,22,,117.1,112.1,5,4.8,-0.2,,,,W
9,Detroit Pistons,2021,4,20,52,0.38,-32,,108,112.5,-4.5,-4.3,0.2,,,,E
10,Golden State Warriors,2021,3,39,33,1.18,6,,111.1,110.1,1,-1.2,-2.2,,,,W
11,Houston Rockets,2021,1,17,55,0.31,-38,,107.1,114.9,-7.8,-5.2,2.6,,,,W
12,Indiana Pacers,2021,2,34,38,0.89,-4,,112.4,112.4,0,0.1,0.1,,,,E
13,Los Angeles Clippers,2021,4,47,25,1.88,22,,117.6,111.2,6.4,5.3,-1.1,,,,W
14,Los Angeles Lakers,2021,2,42,30,1.4,12,,109.9,107.1,2.8,-2.4,-5.2,,,,W
15,Memphis Grizzlies,2021,4,38,34,1.12,4,,112,111,1,-0.3,-1.3,,,,W
16,Miami Heat,2021,4,40,32,1.25,8,,111.2,111.2,0,-1.1,-1.1,,,,E
17,Milwaukee Bucks,2021,2,46,26,1.77,20,,117.2,111.4,5.8,4.9,-0.9,,,,E
18,Minnesota Timberwolves,2021,3,23,49,0.47,-26,,109.5,115,-5.5,-2.8,2.7,,,,W
19,New Orleans Pelicans,2021,5,31,41,0.76,-10,,113.5,113.8,-0.3,1.2,1.5,,,,W
20,New York Knicks,2021,3,41,31,1.32,10,,110.6,108.2,2.4,-1.7,-4.1,,,,E
21,Oklahoma City Thunder,2021,5,22,50,0.44,-28,,103.5,114,-10.5,-8.8,1.7,,,,W
22,Orlando Magic,2021,3,21,51,0.41,-30,,105.1,114.5,-9.4,-7.2,2.2,,,,E
23,Philadelphia 76ers,2021,4,49,23,2.13,26,,113.2,107.6,5.6,0.9,-4.7,,,,E
24,Phoenix Suns,2021,3,51,21,2.43,30,,117.2,111.3,5.9,4.9,-1,,,,W
25,Portland Trail Blazers,2021,2,42,30,1.4,12,,117.8,116,1.8,5.5,3.7,,,,W
26,Sacramento Kings,2021,3,31,41,0.76,-10,,113.6,117.2,-3.6,1.3,4.9,,,,W
27,San Antonio Spurs,2021,4,33,39,0.85,-6,,111,112.8,-1.8,-1.3,0.5,,,,W
28,Toronto Raptors,2021,5,27,45,0.6,-18,,112,112.5,-0.5,-0.3,0.2,,,,E
29,Utah Jazz,2021,4,52,20,2.6,32,,117.6,108.3,9.3,5.3,-4,,,,W
30,Washington Wizards,2021,7,34,38,0.89,-4,,111.2,113,-1.8,-1.1,0.7,,,,E
31,Atlanta Hawks,2020,2,20,47,0.43,-27,108,107.2,114.8,-7.6,-3.4,4.2,,,,E
32,Boston Celtics,2020,3,48,24,2,24,,113.3,107,6.3,2.7,-3.6,,,,E
33,Brooklyn Nets,2020,3,35,37,0.95,-2,,108.9,109.5,-0.6,-1.7,-1.1,,,,E
34,Charlotte Hornets,2020,3,23,42,0.55,-19,,106.3,113.3,-7,-4.3,2.7,,,,E
35,Chicago Bulls,2020,3,22,43,0.51,-21,,106.7,109.8,-3.1,-3.9,-0.8,,,,E
36,Cleveland Cavaliers,2020,4,19,46,0.41,-27,,107.5,115.4,-7.9,-3.1,4.8,,,,E
37,Dallas Mavericks,2020,7,43,32,1.34,11,,116.7,111.7,5,6.1,1.1,,,,W
38,Denver Nuggets,2020,4,46,27,1.7,19,,113.1,111,2.1,2.5,0.4,,,,W
39,Detroit Pistons,2020,3,20,46,0.43,-26,,109,112.7,-3.7,-1.6,2.1,,,,E
40,Golden State Warriors,2020,1,15,50,0.3,-35,,105.2,113.8,-8.6,-5.4,3.2,,,,W
41,Houston Rockets,2020,3,44,28,1.57,16,,112.9,110.1,2.8,2.3,-0.5,,,,W
42,Indiana Pacers,2020,2,45,28,1.61,17,,110,108,2,-0.6,-2.6,,,,E
43,Los Angeles Clippers,2020,2,49,23,2.13,26,,113.9,107.6,6.3,3.3,-3,,,,W
44,Los Angeles Lakers,2020,0,52,19,2.74,33,,112,106.3,5.7,1.4,-4.3,,,,W
45,Memphis Grizzlies,2020,5,34,39,0.87,-5,,109.2,110.3,-1.1,-1.4,-0.3,,,,W
46,Miami Heat,2020,2,44,29,1.52,15,,112.5,109.5,3,1.9,-1.1,,,,E
47,Milwaukee Bucks,2020,4,56,17,3.29,39,,112.4,102.9,9.5,1.8,-7.7,,,,E
48,Minnesota Timberwolves,2020,3,19,45,0.42,-26,,108.1,112.2,-4.1,-2.5,1.6,,,,W
49,New Orleans Pelicans,2020,2,30,42,0.71,-12,,110.7,111.9,-1.2,0.1,1.3,,,,W
50,New York Knicks,2020,3,21,45,0.47,-24,,106.5,113,-6.5,-4.1,2.4,,,,E
51,Oklahoma City Thunder,2020,5,44,28,1.57,16,,110.8,108.8,2,0.2,-1.8,,,,W
52,Orlando Magic,2020,3,33,40,0.83,-7,,108.5,109.5,-1,-2.1,-1.1,,,,E
53,Philadelphia 76ers,2020,6,43,30,1.43,13,,111.3,109,2.3,0.7,-1.6,,,,E
54,Phoenix Suns,2020,6,34,39,0.87,-5,,111.7,111.4,0.3,1.1,0.8,,,,W
55,Portland Trail Blazers,2020,4,35,39,0.9,-4,,113.7,114.8,-1.1,3.1,4.2,,,,W
56,Sacramento Kings,2020,5,31,41,0.76,-10,,110.2,112.2,-2,-0.4,1.6,,,,W
57,San Antonio Spurs,2020,5,32,39,0.82,-7,,112.4,113.5,-1.1,1.8,2.9,,,,W
58,Toronto Raptors,2020,5,53,19,2.79,34,,111.1,105,6.1,0.5,-5.6,,,,E
59,Utah Jazz,2020,5,44,28,1.57,16,,112.3,109.9,2.4,1.7,-0.7,,,,W
60,Washington Wizards,2020,5,25,47,0.53,-22,,110.9,115.5,-4.6,0.3,4.9,,,,E
61,Atlanta Hawks,2019,1,29,53,0.55,-24,108,108.1,113.9,-5.8,-2.3,3.5,,,,E
62,Boston Celtics,2019,5,49,33,1.48,16,,112.2,107.8,4.4,1.8,-2.6,,,,E
63,Brooklyn Nets,2019,2,42,40,1.05,2,,109.6,109.7,-0.1,-0.8,-0.7,,,,E
64,Charlotte Hornets,2019,4,39,43,0.91,-4,,111.4,112.5,-1.1,1,2.1,,,,E
65,Chicago Bulls,2019,3,22,60,0.37,-38,,104.8,113.2,-8.4,-5.6,2.8,,,,E
66,Cleveland Cavaliers,2019,3,19,63,0.3,-44,,107.7,117.6,-9.9,-2.7,7.2,,,,E
67,Dallas Mavericks,2019,7,33,49,0.67,-16,,109.4,110.7,-1.3,-1,0.3,,,,W
68,Denver Nuggets,2019,4,54,28,1.93,26,,113,108.9,4.1,2.6,-1.5,,,,W
69,Detroit Pistons,2019,2,41,41,1,0,,109,109.2,-0.2,-1.4,-1.2,,,,E
70,Golden State Warriors,2019,1,57,25,2.28,32,,115.9,109.5,6.4,5.5,-0.9,,,,W
71,Houston Rockets,2019,3,53,29,1.83,24,,115.5,110.7,4.8,5.1,0.3,,,,W
72,Indiana Pacers,2019,3,48,34,1.41,14,,109.9,106.5,3.4,-0.5,-3.9,,,,E
73,Los Angeles Clippers,2019,6,48,34,1.41,14,,112.4,111.5,0.9,2,1.1,,,,W
74,Los Angeles Lakers,2019,4,37,45,0.82,-8,,107.8,109.5,-1.7,-2.6,-0.9,,,,W
75,Memphis Grizzlies,2019,3,33,49,0.67,-16,,106.1,108.8,-2.7,-4.3,-1.6,,,,W
76,Miami Heat,2019,2,39,43,0.91,-4,,107.3,107.6,-0.3,-3.1,-2.8,,,,E
77,Milwaukee Bucks,2019,4,60,22,2.73,38,,113.8,105.2,8.6,3.4,-5.2,,,,E
78,Minnesota Timberwolves,2019,4,36,46,0.78,-10,,111.4,112.9,-1.5,1,2.5,,,,W
79,New Orleans Pelicans,2019,2,33,49,0.67,-16,,111.4,112.6,-1.2,1,2.2,,,,W
80,New York Knicks,2019,5,17,65,0.26,-48,,104.5,113.7,-9.2,-5.9,3.3,,,,E
81,Oklahoma City Thunder,2019,5,49,33,1.48,16,,110.3,107,3.3,-0.1,-3.4,,,,W
82,Orlando Magic,2019,4,42,40,1.05,2,,108.9,108.1,0.8,-1.5,-2.3,,,,E
83,Philadelphia 76ers,2019,5,51,31,1.65,20,,112.6,110,2.6,2.2,-0.4,,,,E
84,Phoenix Suns,2019,3,19,63,0.3,-44,,105.9,115.1,-9.2,-4.5,4.7,,,,W
85,Portland Trail Blazers,2019,2,53,29,1.83,24,,114.7,110.5,4.2,4.3,0.1,,,,W
86,Sacramento Kings,2019,4,39,43,0.91,-4,,110.4,111.5,-1.1,0,1.1,,,,W
87,San Antonio Spurs,2019,5,48,34,1.41,14,,112.9,111.2,1.7,2.5,0.8,,,,W
88,Toronto Raptors,2019,4,58,24,2.42,34,,113.1,107.1,6,2.7,-3.3,,,,E
89,Utah Jazz,2019,6,50,32,1.56,18,,110.9,105.7,5.2,0.5,-4.7,,,,W
90,Washington Wizards,2019,2,32,50,0.64,-18,,111.1,113.9,-2.8,0.7,3.5,,,,E
91,Atlanta Hawks,2018,4,24,58,0.41,-34,108,105,110.6,-5.6,-3.6,2,,,,E
92,Boston Celtics,2018,6,55,27,2.04,28,,107.6,103.9,3.7,-1,-4.7,,,,E
93,Brooklyn Nets,2018,1,28,54,0.52,-26,,106.9,110.6,-3.7,-1.7,2,,,,E
94,Charlotte Hornets,2018,1,36,46,0.78,-10,,109.4,109.1,0.3,0.8,0.5,,,,E
95,Chicago Bulls,2018,4,27,55,0.49,-28,,103.8,110.9,-7.1,-4.8,2.3,,,,E
96,Cleveland Cavaliers,2018,4,50,32,1.56,18,,112.9,111.9,1,4.3,3.3,,,,E
97,Dallas Mavericks,2018,5,24,58,0.41,-34,,106.3,109.5,-3.2,-2.3,0.9,,,,W
98,Denver Nuggets,2018,5,46,36,1.28,10,,112.5,111,1.5,3.9,2.4,,,,W
99,Detroit Pistons,2018,1,39,43,0.91,-4,,107.2,107.3,-0.1,-1.4,-1.3,,,,E
100,Golden State Warriors,2018,2,58,24,2.42,34,,113.6,107.6,6,5,-1,,,,W
101,Houston Rockets,2018,4,65,17,3.82,48,,114.7,106.1,8.6,6.1,-2.5,,,,W
102,Indiana Pacers,2018,3,48,34,1.41,14,,109.5,108.1,1.4,0.9,-0.5,,,,E
103,Los Angeles Clippers,2018,2,42,40,1.05,2,,110.3,110.2,0.1,1.7,1.6,,,,W
104,Los Angeles Lakers,2018,4,35,47,0.74,-12,,106.5,108,-1.5,-2.1,-0.6,,,,W
105,Memphis Grizzlies,2018,2,22,60,0.37,-38,,104.5,111,-6.5,-4.1,2.4,,,,W
106,Miami Heat,2018,2,44,38,1.16,6,,106.8,106.3,0.5,-1.8,-2.3,,,,E
107,Milwaukee Bucks,2018,4,44,38,1.16,6,,109.8,110.1,-0.3,1.2,1.5,,,,E
108,Minnesota Timberwolves,2018,3,47,35,1.34,12,,113.4,111.1,2.3,4.8,2.5,,,,W
109,New Orleans Pelicans,2018,3,48,34,1.41,14,,109.6,108.3,1.3,1,-0.3,,,,W
110,New York Knicks,2018,5,29,53,0.55,-24,,107.1,110.7,-3.6,-1.5,2.1,,,,E
111,Oklahoma City Thunder,2018,2,48,34,1.41,14,,110.7,107.2,3.5,2.1,-1.4,,,,W
112,Orlando Magic,2018,5,25,57,0.44,-32,,105.2,110.1,-4.9,-3.4,1.5,,,,E
113,Philadelphia 76ers,2018,6,52,30,1.73,22,,109.5,105,4.5,0.9,-3.6,,,,E
114,Phoenix Suns,2018,2,21,61,0.34,-40,,103.5,112.8,-9.3,-5.1,4.2,,,,W
115,Portland Trail Blazers,2018,1,49,33,1.48,16,,109.1,106.4,2.7,0.5,-2.2,,,,W
116,Sacramento Kings,2018,4,27,55,0.49,-28,,103.7,111.1,-7.4,-4.9,2.5,,,,W
117,San Antonio Spurs,2018,6,47,35,1.34,12,,107.9,104.8,3.1,-0.7,-3.8,,,,W
118,Toronto Raptors,2018,7,59,23,2.57,36,,113.8,105.9,7.9,5.2,-2.7,,,,E
119,Utah Jazz,2018,7,48,34,1.41,14,,108.4,103.9,4.5,-0.2,-4.7,,,,W
120,Washington Wizards,2018,3,43,39,1.1,4,,109.3,108.7,0.6,0.7,0.1,,,,E
121,Atlanta Hawks,2017,4,43,39,1.1,4,113,104.9,105.7,-0.8,-3.9,-3.1,,,,E
122,Boston Celtics,2017,3,53,29,1.83,24,,111.2,108.4,2.8,2.4,-0.4,,,,E
123,Brooklyn Nets,2017,4,20,62,0.32,-42,,104.1,110.7,-6.6,-4.7,1.9,,,,E
124,Charlotte Hornets,2017,2,36,46,0.78,-10,,108.8,108.6,0.2,0,-0.2,,,,E
125,Chicago Bulls,2017,3,41,41,1,0,,107.4,107,0.4,-1.4,-1.8,,,,E
126,Cleveland Cavaliers,2017,2,51,31,1.65,20,,113.6,110.3,3.3,4.8,1.5,,,,E
127,Dallas Mavericks,2017,6,33,49,0.67,-16,,105.6,108.8,-3.2,-3.2,0,,,,W
128,Denver Nuggets,2017,6,40,42,0.95,-2,,113.2,112.7,0.5,4.4,3.9,,,,W
129,Detroit Pistons,2017,3,37,45,0.82,-8,,106,107.1,-1.1,-2.8,-1.7,,,,E
130,Golden State Warriors,2017,2,67,15,4.47,52,,115.6,104,11.6,6.8,-4.8,,,,W
131,Houston Rockets,2017,3,55,27,2.04,28,,114.7,109,5.7,5.9,0.2,,,,W
132,Indiana Pacers,2017,1,42,40,1.05,2,,108.6,108.8,-0.2,-0.2,0,,,,E
133,Los Angeles Clippers,2017,1,51,31,1.65,20,,112.7,108.2,4.5,3.9,-0.6,,,,W
134,Los Angeles Lakers,2017,5,26,56,0.46,-30,,106,113,-7,-2.8,4.2,,,,W
135,Memphis Grizzlies,2017,1,43,39,1.1,4,,107.7,107.1,0.6,-1.1,-1.7,,,,W
136,Miami Heat,2017,1,41,41,1,0,,107.8,106.7,1.1,-1,-2.1,,,,E
137,Milwaukee Bucks,2017,4,42,40,1.05,2,,109.1,109.3,-0.2,0.3,0.5,,,,E
138,Minnesota Timberwolves,2017,5,31,51,0.61,-20,,110.8,112,-1.2,2,3.2,,,,W
139,New Orleans Pelicans,2017,4,34,48,0.71,-14,,105.2,107.4,-2.2,-3.6,-1.4,,,,W
140,New York Knicks,2017,5,31,51,0.61,-20,,107.7,111.5,-3.8,-1.1,2.7,,,,E
141,Oklahoma City Thunder,2017,6,47,35,1.34,12,,108.3,107.5,0.8,-0.5,-1.3,,,,W
142,Orlando Magic,2017,6,29,53,0.55,-24,,103.7,110.5,-6.8,-5.1,1.7,,,,E
143,Philadelphia 76ers,2017,6,28,54,0.52,-26,,103.2,108.9,-5.7,-5.6,0.1,,,,E
144,Phoenix Suns,2017,3,24,58,0.41,-34,,106.6,112.2,-5.6,-2.2,3.4,,,,W
145,Portland Trail Blazers,2017,1,41,41,1,0,,110.3,110.8,-0.5,1.5,2,,,,W
146,Sacramento Kings,2017,3,32,50,0.64,-18,,107.3,111.3,-4,-1.5,2.5,,,,W
147,San Antonio Spurs,2017,6,61,21,2.9,40,,111.1,103.5,7.6,2.3,-5.3,,,,W
148,Toronto Raptors,2017,6,51,31,1.65,20,,112.3,107.8,4.5,3.5,-1,,,,E
149,Utah Jazz,2017,7,51,31,1.65,20,,109.6,105.3,4.3,0.8,-3.5,,,,W
150,Washington Wizards,2017,4,49,33,1.48,16,,111.2,109.3,1.9,2.4,0.5,,,,E
151,Atlanta Hawks,2016,5,48,34,1.41,14,100,105.1,101.4,3.7,-1.3,-5,,,,E
152,Boston Celtics,2016,2,48,34,1.41,14,,106.8,103.6,3.2,0.4,-2.8,,,,E
153,Brooklyn Nets,2016,3,21,61,0.34,-40,,103.2,110.9,-7.7,-3.2,4.5,,,,E
154,Charlotte Hornets,2016,1,48,34,1.41,14,,107.1,104.3,2.8,0.7,-2.1,,,,E
155,Chicago Bulls,2016,4,42,40,1.05,2,,105,106.5,-1.5,-1.4,0.1,,,,E
156,Cleveland Cavaliers,2016,6,57,25,2.28,32,,110.9,104.5,6.4,4.5,-1.9,,,,E
157,Dallas Mavericks,2016,5,42,40,1.05,2,,106.7,107,-0.3,0.3,0.6,,,,W
158,Denver Nuggets,2016,5,33,49,0.67,-16,,105.6,108.9,-3.3,-0.8,2.5,,,,W
159,Detroit Pistons,2016,3,44,38,1.16,6,,106.1,105.5,0.6,-0.3,-0.9,,,,E
160,Golden State Warriors,2016,3,73,9,8.11,64,,114.5,103.8,10.7,8.1,-2.6,,,,W
161,Houston Rockets,2016,2,41,41,1,0,,108.3,108.1,0.2,1.9,1.7,,,,W
162,Indiana Pacers,2016,1,45,37,1.22,8,,104.6,102.9,1.7,-1.8,-3.5,,,,E
163,Los Angeles Clippers,2016,2,53,29,1.83,24,,108.3,103.8,4.5,1.9,-2.6,,,,W
164,Los Angeles Lakers,2016,2,17,65,0.26,-48,,101.6,111.6,-10,-4.8,5.2,,,,W
